5,24999,29800,30000,
5,9199,9201,16099,
5,22100,29901,30199,
5,15900,16600,26200,
5,24299,47101,173900,
15,183101,265600,89637200,
15,381899,49601,60260899,
15,41500,76501,61658799,
15,24501,53100,62295400,
15,52100,73501,69636700,
25,65201,182000,
25,56400,245201,
25,68501,153500,
25,53701,279801,
25,303499,176700,
35,107301,240300,
35,104400,328599,
35,106301,269000,
35,113500,316899,
35,123199,346299,
45,177500,573200,
45,175200,428800,
45,161000,404799,
45,180100,887399,
45,160400,399500,
55,279699,792800,
55,201400,851499,
55,253299,2026200,
55,219500,693200,
55,393300,973000,
65,339100,1149099,
65,338200,1134101,
65,539600,1497300,
65,320100,1081400,
65,233500,1736800,
75,1050700,1594701,
75,372000,1655000,
75,466299,1346800,
75,423300,1747500,
75,402000,1039700,
85,1118900,2433599,
85,2577500,1266899,
85,776100,2118999,
85,250699,4948300,
85,278200,850099,
95,247500,330501,
95,235800,415700,
95,221801,611700,
95,254900,879300,
95,277500,354900,
105,239900,505800,
105,250200,460600,
105,249500,420699,
105,604300,708699,
105,310700,1252300,
115,363000,802700,
115,215599,1125501,
115,343900,568500,
115,342599,2061201,
115,296401,1136900,
125,397700,790499,
125,369200,1446400,
125,244799,899700,
125,2177300,804901,
125,374000,621601,
135,497800,1358100,
135,1439200,1835700,
135,490500,1935000,
135,299100,1003400,
135,330900,1335900,
145,619000,516900,
145,330400,579500,
145,352201,543600,
145,486700,354100,
145,362501,613300,
155,624500,341200,
155,567299,540700,
155,534000,669999,
155,512799,426900,
155,463599,327600,
165,2031099,478500,
165,686300,590200,
165,554301,348300,
165,589200,389899,
165,667400,522600,
175,621700,505599,
175,632100,941700,
175,641901,400499,
175,676000,382700,
175,540999,335400,
185,747200,479501,
185,629101,927500,
185,681500,754100,
185,1085201,423800,
185,775500,401901,
195,655400,656900,
195,1044601,771100,
195,631300,625499,
195,4852600,376599,
195,912100,427999,
205,897700,874499,
205,887800,508000,
205,836799,581301,
205,1912599,462200,
205,974700,393501,
215,1353400,619500,
