5,130900,19700,116200,41700,40300,
5,329500,90800,227900,15700,8200,
5,206400,152700,135100,18000,5900,
5,69700,75000,116000,15300,8700,
5,46100,224200,6782400,24900,191900,
15,5712000,67800,104400,20800,
15,7872000,31700,161400,32000,
15,681500,2753000,161700,28100,
15,5140700,21500,188900,32000,
15,85100,100700,72400,20900,
25,3220100,7800,103300,30600,
25,768700,13800,81700,35400,
25,4586000,88300,81800,39400,
25,11173000,65800,78200,22800,
25,13558700,20982600,137900,31300,
35,17272000,17600,143000,12196600,
35,65730800,13200,65800,99900,
35,49524200,4400,67900,37900,
35,18002200,7400,81500,65400,
35,130853800,45800,141200,96600,
45,178691700,6000,86800,69400,
45,143629200,6300,66300,45400,
45,627222300,7400,92600,56600,
45,144156300,20900,176700,41000,
45,248908200,8000,150100,187400,
