100,34742,2448,1458,2195,1694,1639,
100,2021,1283,1353,1861,897,1754,
100,1943,1367,1044,1745,993,1432,
100,1883,1476,1234,2209,1353,1711,
100,3896,628,417,2361,469,1403,
100,1875,1365,693,1166,410,1607,
100,1074,607,1558,1631,798,3872,
100,10161,915,726,1170,1801,1683,
100,623,388,231,588,332,2023,
100,886,611,453,705,257,648,
100,363,265,258,571,252,661,
100,332,495,176,554,312,263,
100,1533,633,519,757,836,630,
100,371,248,200,1462,349,230,
100,1284,293,235,999,7353,307,
100,486,385,205,672,330,277,
100,394,263,227,593,226,407,
100,447,392,537,638,346,236,
100,743,245,510,568,418,247,
100,417,341,1290,612,306,318,
100,369,285,212,589,304,386,
100,426,278,242,618,243,274,
100,433,334,168,821,365,370,
100,413,262,250,570,277,278,
100,345,357,189,1348,370,202,
100,470,330,306,1495,483,343,
100,484,327,158,616,259,214,
100,697,281,240,570,224,977,
100,421,324,154,598,296,269,
100,623,293,296,1918,211,318,
100,538,454,182,738,428,221,
100,496,228,153,544,187,689,
100,601,515,174,697,229,497,
100,655,297,185,1111,244,302,
100,1309,801,188,1907,268,728,
100,1478,2882,225,15450,559,294,
100,454,437,7801,1550,440,393,
100,345,271,250,662,257,190,
100,3487,249,276,1397,194,276,
100,952,8908,125,1091,289,195,
100,569,256,179,519,251,162,
100,2824,359,173,1780,621,305,
100,430,293,437,669,241,328,
100,435,372,176,141499,336,211,
100,594,342,333,1384,227,179,
100,531,325,166,1284,189,243,
100,431,294,222,529,238,280,
100,386,264,670,1113,172,239,
100,368,387,146,1592,288,214,
100,1102,407,756,1483,213,1019,
150,1050,598,216,762,269,275,
150,447,267,230,1717,247,7030,
150,375,221,198,2919,224,334,
150,448,649,250,592,202,286,
150,1058,488,193,1056,272,243,
150,472,342,156,422,261,206,
150,389,364,169,826,281,199,
150,766,318,262,500,273,225,
150,350,346,159,581,242,244,
150,358,15004,244,381,310,276,
150,360,334,218,351,154,224,
150,312,190,654,489,252,301,
150,318,190,215,800,210,264,
150,344,2102,237,439,209,285,
150,287,4219,201,436,206,256,
150,323,172,232,416,207,260,
150,321,267,121,518,278,274,
150,292,296,114,555,454,294,
